month,Thunderstorm Wind,Hail,Tornado,total_records
1,0,0,0,0
2,14,1,0,15
3,7,0,0,7
4,12,13,0,25
5,40,22,2,64
6,108,15,1,124
7,144,18,3,165
8,79,22,1,102
9,31,2,0,33
10,8,0,0,8
11,19,0,0,19
12,2,0,0,2
