month,Thunderstorm Wind,Hail,Tornado
1,0.0,0.0,0.0
2,3.0172413793103448,1.0752688172043012,0.0
3,1.5086206896551724,0.0,0.0
4,2.586206896551724,13.978494623655912,0.0
5,8.620689655172415,23.655913978494624,28.57142857142857
6,23.275862068965516,16.129032258064516,14.285714285714285
7,31.03448275862069,19.35483870967742,42.857142857142854
8,17.025862068965516,23.655913978494624,14.285714285714285
9,6.68103448275862,2.1505376344086025,0.0
10,1.7241379310344827,0.0,0.0
11,4.094827586206897,0.0,0.0
12,0.43103448275862066,0.0,0.0
