month,Thunderstorm Wind,Hail,Tornado
1,0.34837688044338877,0.2867677181482999,0.3048780487804878
2,1.0292953285827395,1.1061040557148711,1.8292682926829267
3,3.111638954869359,7.046292503072511,3.6585365853658534
4,8.844022169437848,13.191315034821793,9.146341463414634
5,11.98733174980206,24.539123310118804,27.743902439024392
6,23.357086302454473,15.936091765669808,14.634146341463413
7,24.228028503562946,17.165096272019664,14.939024390243901
8,16.326207442596992,13.273248668578452,12.5
9,5.0831353919239906,4.916018025399427,3.9634146341463414
10,2.1931908155186064,1.1470708725931995,9.75609756097561
11,3.2541567695961997,1.1470708725931995,1.524390243902439
12,0.23752969121140144,0.24580090126997134,0.0
