season,Thunderstorm Wind,Hail,Tornado,total_records,percent_of_all_records
Winter,204,40,7,251,1.6299759724657445
Spring,3024,1093,133,4250,27.59919475290603
Summer,8072,1132,138,9342,60.66627703097603
Autumn,1330,176,50,1556,10.104552243652185
