month,Thunderstorm Wind,Hail,Tornado,total_records
1,44,7,1,52
2,130,27,6,163
3,393,172,12,577
4,1117,322,30,1469
5,1514,599,91,2204
6,2950,389,48,3387
7,3060,419,49,3528
8,2062,324,41,2427
9,642,120,13,775
10,277,28,32,337
11,411,28,5,444
12,30,6,0,36
