field,non_missing_estimates,missing_estimates,zero_estimates,positive_estimates,maximum_usd,missing_preserved
DAMAGE_PROPERTY,13272,2127,4879,8393,8000000.0,True
DAMAGE_CROPS,13151,2248,13010,141,1000000.0,True
